Open	High	Low	Close	Adj Close	Volume	change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	symbol	company	list_date	v_change
0.1	0.1	0.08	0.09	0.09	49188	-0.16	0.22	0.23	0.24	9837.6	4918.8	2459.4	FOG	FogChain Corp.	2018-05-29	39350.4
0.31	0.31	0.31	0.31	0.31	500	0.06	0.26	0.26	0.25	4100.0	17360.0	9630.0	FNAU	Four Nines Gold Inc.	2017-08-31	-3600.0
0.06	0.06	0.06	0.06	0.06	3000	0.0	0.06	0.06	0.06	3300.0	12900.0	13332.25	FOX	Fox River Resources Corporation 	2016-02-02	-300.0
0.29	0.3	0.28	0.29	0.29	2882721	0.0	0.29	0.29	0.3	4265259.0	4986384.0	6246638.0	HUGE	FSD Pharma Inc. Class B Voting	2018-05-29	-1382538.0
0.25	0.26	0.23	0.23	0.23	460314	0.06	0.19	0.19	0.14	109762.8	67046.4	40978.2	FFT	Future Farm Technologies Inc.	2017-02-02	350551.2
0.3	0.33	0.3	0.32	0.32	135375	0.02	0.29	0.3	0.34	102367.0	59217.0	58151.0	GABY	Gabriella's Kitchen Inc.	2018-09-05	33008.0
0.05	0.05	0.05	0.05	0.05	0	-1.26	1.06	1.18	1.25	0.0	0.0	130.4	GCA	Gencan Capital Inc. 	2015-10-30	0.0
0.1	0.1	0.1	0.1	0.1	0	0.0	0.1	0.11	0.11	8840.0	9852.0	8922.0	GENM	Generation Mining Limited 	2018-05-09	-8840.0
0.06	0.06	0.06	0.06	0.06	0	0.0	0.05	0.05	0.05	0.0	2500.0	5528.35	GGC	Generic Gold Corp. 	2018-03-01	0.0
0.32	0.32	0.32	0.32	0.32	0	0.0	0.32	0.31	0.31	0.0	34434.7	82814.0	GNI	"Genius Properties Ltd.
"	2014-02-13	0.0
0.14	0.14	0.14	0.14	0.14	0	-0.16	0.17	0.12	0.09	2438.4	1219.2	609.6	GTCH	"Getchell Gold Corp.
"	2018-08-27	-2438.4
0.14	0.18	0.14	0.18	0.18	319074	0.03	0.13	0.14	0.16	194506.8	217245.5	162401.0	GET	Glance Technologies Inc. 	2016-09-07	124567.2
0.0	0.0	0.0	0.0	0.0	14849	0.0	0.0	0.01	0.01	2678070.8	2160638.0	1333272.75	FORK	Global Blockchain Mining Corp.	2018-07-18	-2663221.8
0.08	0.08	0.08	0.08	0.08	379218	-0.01	0.09	0.1	0.12	533902.4	528679.9	1174343.7	BLOC	Global Blockchain Technologies Corp.	2018-01-22	-154684.4
0.1	0.1	0.1	0.1	0.1	251927	-0.2	0.24	0.26	0.27	53185.4	27192.7	42021.35	APP	"Global Cannabis Applications Corp.
"	2017-04-18	198741.6
0.13	0.13	0.13	0.13	0.13	13099	-0.01	0.13	0.13	0.13	10119.8	16824.9	21919.8	MJRX	Global Health Clinics Ltd.	2018-08-29	2979.2
0.14	0.14	0.13	0.14	0.14	463325	0.12	0.04	0.03	0.02	261665.0	229382.5	130441.25	GHG	"Global Hemp Group Inc.
"	2014-03-25	201660.0
0.07	0.07	0.07	0.07	0.07	65000	0.01	0.06	0.06	0.07	16000.0	23815.0	45114.55	LION	"Global Li-Ion Graphite Corp.
"	2017-07-14	49000.0
0.04	0.05	0.04	0.04	0.04	1582843	-0.06	0.09	0.09	0.1	406618.6	203384.3	104392.35	UAV	"Global UAV Technologies Ltd.
"	2014-09-11	1176224.4
0.24	0.24	0.24	0.24	0.24	0	0.0	0.25	0.23	0.24	6000.0	5200.0	5240.3	GOCO	"Go Cobalt Mining Corp.
"	2018-06-14	-6000.0
0.19	0.2	0.18	0.18	0.18	2176101	-0.01	0.16	0.14	0.13	3134430.4	2023608.3	1415141.85	GLH	Golden Leaf Holdings Ltd. 	2015-10-14	-958329.4
0.04	0.04	0.04	0.04	0.04	16000	-0.01	0.05	0.05	0.05	8320.0	5060.0	3735.0	GOR	Goldrea Resources Corp. 	2014-07-30	7680.0
0.05	0.05	0.05	0.05	0.05	0	0.0	0.06	0.07	0.09	20800.0	34700.0	32325.0	MPLS	GoverMedia Plus Canada Corp.	2018-03-01	-20800.0
0.16	0.16	0.16	0.16	0.16	0	0.0	0.15	0.15	0.16	0.0	0.0	0.0	GPK	Grand Peak Capital Corp	2014-09-15	0.0
0.04	0.04	0.03	0.03	0.03	4247	0.0	0.03	0.03	0.03	23044.0	26457.4	18566.3	GRE	Graphite Energy Corp.	2017-10-13	-18797.0
0.04	0.04	0.04	0.04	0.04	0	0.0	0.06	0.06	0.06	3775.0	10237.5	25754.15	GFI	Gravitas Financial Inc. 	2013-07-08	-3775.0
0.08	0.08	0.08	0.08	0.08	11000	-0.01	0.08	0.08	0.07	38000.0	75071.4	47277.1	GTBE	Green 2 Blue Energy Corp. 	2017-12-28	-27000.0
0.06	0.06	0.06	0.06	0.06	105000	0.05	0.01	0.01	0.01	21000.0	20500.0	10250.0	CCR	"Green River Gold Corp.  
"	2017-09-08	84000.0
12.55	14.12	12.41	14.12	14.12	314470	14.08	2.85	1.45	0.75	74618.8	60243.9	46728.2	GTII	Green Thumb Industries Inc. 	2018-06-13	239851.2
0.3	0.3	0.3	0.3	0.3	0	0.25	0.1	0.07	0.06	0.0	184.2	428.85	GBC	GreenBank Capital Inc. 	2013-04-17	0.0
0.4	0.4	0.4	0.4	0.4	0	0.0	0.4	0.4	0.4	0.0	0.0	0.0	GVG	Grenville Gold Corp.	2018-10-16	0.0
9.9	9.9	9.9	9.9	9.9	0	9.85	2.02	1.04	0.54	0.0	0.0	0.0	GPC	"Gunpowder Capital Corp.
"	2016-05-18	0.0
0.05	0.05	0.04	0.04	0.04	262650	-0.01	0.05	0.04	0.04	255217.6	257849.5	232158.55	HS	HealthSpace Data Systems Ltd.  	2015-11-30	7432.4
0.1	0.1	0.1	0.1	0.1	15000	0.01	0.09	0.11	0.11	24000.0	12000.0	6025.0	HP	Hello Pal International Inc. 	2016-05-13	-9000.0
